AVERAGE PRECISION = 0.8033898305084746 
lat, long, sf, bw, lsnr, RSSI, len, tmst_dif, TESTE, PREDICT, PROB, DECISION 
[38.723804, -9.161392, 12, 125, -14.0, -116.0, 28, 58140] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.5, -115.0, 28, 55057] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -15.5, -117.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.2, -118.0, 28, 54076] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -15.0, -116.0, 28, 52074] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.5, -115.0, 28, 53977] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.2, -116.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -16.2, -112.0, 28, 64066] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -17.2, -111.0, 28, 10010] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.8, -115.0, 28, 54056] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.0, -116.0, 28, 62125] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -117.0, 28, 3944] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.8, -121.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.2, -116.0, 28, 5006] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.2, -119.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.8, -110.0, 28, 10091] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -15.0, -113.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.5, -117.0, 28, 66089] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.5, -118.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -116.0, 28, 58060] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.5, -118.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.8, -117.0, 28, 54056] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.0, -98.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.5, -117.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.8, -112.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -16.2, -102.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.0, -115.0, 28, 55057] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.8, -117.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.2, -119.0, 28, 58060] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.2, -116.0, 28, 58081] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -117.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.8, -118.0, 28, 4005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.2, -118.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.0, -118.0, 28, 62065] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.5, -115.0, 28, 3984] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.5, -116.0, 28, 4985] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.5, -114.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.5, -116.0, 28, 64046] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.0, -118.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.8, -117.0, 28, 8008] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -116.0, 28, 4965] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.0, -119.0, 28, 64067] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.8, -118.0, 28, 61003] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.2, -119.0, 28, 64047] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.2, -113.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -16.5, -115.0, 28, 7968] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.8, -117.0, 28, 58061] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.5, -117.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.8, -117.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.0, -118.0, 28, 5006] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.8, -118.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.0, -118.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.8, -117.0, 28, 49289] 		, 1 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.5, -115.0, 28, 60983] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.2, -117.0, 28, 57119] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.5, -116.0, 28, 113038] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.5, -117.0, 28, 60123] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.5, -117.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.2, -117.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
